"","t","region","ed.visits","X","sine","cosine","is.train"
"1",1,"Region.3",7,-7.52619088207261,0.0172015754182605,0.999852041955773,TRUE
"2",2,"Region.3",10,-5.61280895694759,0.034398060613608,0.99940821160626,TRUE
"3",3,"Region.3",4,-2.23654709773094,0.0515843668694084,0.998668640288,TRUE
"4",4,"Region.3",0,-4.98031995669443,0.0687554084811394,0.997633546852045,TRUE
"5",5,"Region.3",4,-9.03963005912761,0.0859061042613327,0.996303237599196,TRUE
"6",6,"Region.3",4,-9.579505826629,0.103031379043179,0.994678106189365,TRUE
"7",7,"Region.3",12,-3.4293688896144,0.120126165182351,0.992758633525079,TRUE
"8",8,"Region.3",0,2.66441041925267,0.137185404056601,0.990545387609183,TRUE
"9",9,"Region.3",7,7.45807902531994,0.154204047562689,0.988039023376751,TRUE
"10",10,"Region.3",0,8.87631027067057,0.1711770596102,0.985240282501282,TRUE
"11",11,"Region.3",11,16.1764734862623,0.188099417611798,0.982149993175229,TRUE
"12",12,"Region.3",4,18.4676686837745,0.204966113969495,0.978769069864922,TRUE
"13",13,"Region.3",4,5.9929146052314,0.221772157556482,0.975098513039961,TRUE
"14",14,"Region.3",0,-4.68490122069142,0.238512575194076,0.971139408877165,TRUE
"15",15,"Region.3",4,-0.661374746802177,0.255182413123373,0.966892928939152,TRUE
"16",16,"Region.3",0,1.92125304477453,0.271776738471136,0.962360329827655,TRUE
"17",17,"Region.3",4,-3.59370668567223,0.288290640709518,0.957542952811672,TRUE
"18",18,"Region.3",7,0.561206762887609,0.304719233109163,0.952442223430568,TRUE
"19",19,"Region.3",0,7.15499076967459,0.321057654185271,0.947059651072228,TRUE
"20",20,"Region.3",0,11.4989878755763,0.337301069136184,0.941396828526412,TRUE
"21",21,"Region.3",0,12.334714240232,0.353444671274088,0.935455431513416,TRUE
"22",22,"Region.3",0,15.7721451945,0.369483683447383,0.929237218188205,TRUE
"23",23,"Region.3",13,14.8975578015413,0.385413359454326,0.922744028620143,TRUE
"24",24,"Region.3",3,5.1372733221572,0.401228985447501,0.915977784248488,TRUE
"25",25,"Region.3",11,3.17687316197073,0.416925881328729,0.908940487313808,TRUE
"26",26,"Region.3",7,9.44082684203184,0.432499402133979,0.901634220265486,TRUE
"27",27,"Region.3",4,13.614108654795,0.447944939407891,0.894061145145488,TRUE
"28",28,"Region.3",0,10.7442409531327,0.463257922567492,0.88622350294858,TRUE
